Mahdodeh_Name,Mahdodeh_Code,Aquifer_Name,Well_Name,10/7/2001,11/6/2001,12/6/2001,1/5/2002,2/4/2002,3/6/2002,4/4/2002,5/5/2002,6/5/2002,7/6/2002,8/6/2002,9/6/2002,10/7/2002,11/6/2002,12/6/2002,1/5/2003,2/4/2003,3/6/2003,4/4/2003,5/5/2003,6/5/2003,7/6/2003,8/6/2003,9/6/2003,10/7/2003,11/6/2003,12/6/2003,1/5/2004,2/4/2004,3/5/2004,4/3/2004,5/4/2004,6/4/2004,7/5/2004,8/5/2004,9/5/2004,10/6/2004,11/5/2004,12/5/2004,1/4/2005,2/3/2005,3/5/2005,4/4/2005,5/5/2005,6/5/2005,7/6/2005,8/6/2005,9/6/2005,10/7/2005,11/6/2005,12/6/2005,1/5/2006,2/4/2006,3/6/2006,4/4/2006,5/5/2006,6/5/2006,7/6/2006,8/6/2006,9/6/2006,10/7/2006,11/6/2006,12/6/2006,1/5/2007,2/4/2007,3/6/2007,4/4/2007,5/5/2007,6/5/2007,7/6/2007,8/6/2007,9/6/2007,10/7/2007,11/6/2007,12/6/2007,1/5/2008,2/4/2008,3/5/2008,4/3/2008,5/4/2008,6/4/2008,7/5/2008,8/5/2008,9/5/2008,10/6/2008,11/5/2008,12/5/2008,1/4/2009,2/3/2009,3/5/2009,4/4/2009,5/5/2009,6/5/2009,7/6/2009,8/6/2009,9/6/2009,10/7/2009,11/6/2009,12/6/2009,1/5/2010,2/4/2010,3/6/2010,4/4/2010,5/5/2010,6/5/2010,7/6/2010,8/6/2010,9/6/2010,10/7/2010,11/6/2010,12/6/2010,1/5/2011,2/4/2011,3/6/2011,4/4/2011,5/5/2011,6/5/2011,7/6/2011,8/6/2011,9/6/2011,10/7/2011,11/6/2011,12/6/2011,1/5/2012,2/4/2012,3/5/2012,4/3/2012,5/4/2012,6/4/2012,7/5/2012,8/5/2012,9/5/2012,10/6/2012,11/5/2012,12/5/2012,1/4/2013,2/3/2013,3/5/2013,4/4/2013,5/5/2013,6/5/2013,7/6/2013,8/6/2013,9/6/2013,10/7/2013,11/6/2013,12/6/2013,1/5/2014,2/4/2014,3/6/2014,4/4/2014,5/5/2014,6/5/2014,7/6/2014,8/6/2014,9/6/2014,10/7/2014,11/6/2014,12/6/2014,1/5/2015,2/4/2015,3/6/2015,4/4/2015,5/5/2015,6/5/2015,7/6/2015,8/6/2015,9/6/2015,10/7/2015,11/6/2015,12/6/2015,1/5/2016,2/4/2016,3/5/2016,4/3/2016,5/4/2016,6/4/2016,7/5/2016,8/5/2016,9/5/2016
جوین,4740,جوین, چاه فرش,6.225172414,6.168064516,6.239310345,5.96,5.96,5.96,5.858648649,5.818636364,5.9425,5.978,5.988484848,6.214137931,6.384827586,6.4045,6.33875,6.355806452,6.380909091,6.292162162,6.178275862,6.24,6.296129032,6.402352941,6.27,6.271764706,6.299117647,6.28175,6.28925,6.297142857,6.425714286,6.380285714,6.414571429,6.448857143,6.35,6.4,6.491176471,6.588,6.631428571,6.652857143,6.637142857,6.52,6.362857143,6.539,6.616511628,6.28,6.386285714,,,,6.886428571,6.948823529,6.79,6.9416,6.98,6.992173913,7.036304348,7.416666667,7.504864865,7.585714286,7.734814815,7.726944444,7.632222222,7.455333333,7.728518519,7.383714286,7.236153846,7.712926829,7.797804878,8.015185185,8.134857143,8.201666667,7.94,7.837058824,7.730869565,7.5995,7.490344828,7.432413793,7.373333333,7.24137931,7.333636364,7.262222222,7.734411765,8.203333333,8.5659375,8.6,8.181111111,7.855294118,7.711538462,7.589428571,7.47826087,7.444186047,7.506976744,7.497741935,7.4675,7.584482759,7.700909091,7.750357143,7.87,7.873333333,7.719655172,7.636060606,7.5625,7.594285714,7.7425,7.81,7.79173913,7.785294118,7.884137931,7.93675,7.939655172,8.010869565,8.093636364,8.087941176,7.955945946,8.531621622,8.500571429,8.797241379,9.145625,9.186666667,9.2909375,9.386,9.408181818,9.35,9.236363636,8.584705882,8.355294118,8.593333333,9.133030303,9.361666667,9.505,9.486,9.585789474,9.636521739,9.589411765,9.385588235,9.2688,8.74,8.52,8.62625,9.21375,9.48625,9.626,9.726428571,9.772857143,9.887142857,9.898529412,9.74,9.515,9.03125,8.772941176,8.765454545,9.09,9.365357143,9.54,9.724137931,9.929285714,9.997027027,9.988888889,9.807142857,9.731764706,9.327692308,9.084666667,9.445757576,9.674242424,9.846756757,10.005,10.16171429,10.21485714,9.916,9.81,10.51317073,9.810731707,9.411,9.2796,9.840555556,10.33142857,10.33142857,10.33142857,10.33142857,10.33142857,10.33142857
جوین,4740,جوین, دوبرجه,8.415862069,8.472258065,8.44,8.178181818,8.26,8.073028169,7.886056338,7.81,8.3,8.397,8.442424242,8.763793103,8.819310345,8.82725,8.841875,8.855483871,8.830909091,8.625405405,8.39862069,8.48,8.726774194,8.715882353,8.460333333,8.477647059,8.596176471,8.75575,8.82325,8.675142857,8.563714286,8.487142857,8.444285714,8.401428571,8.384615385,9.1,9.163823529,9.234,9.373809524,9.430952381,9.421428571,9.4,9.357142857,9.314,8.839069767,8.65,9.013142857,,,,9.556428571,9.603529412,9.33,9.3064,9.453571429,9.412608696,9.349565217,9.375833333,9.638648649,9.742857143,9.981111111,9.971666667,10.02333333,10.14266667,10.21777778,10.22,10.02615385,9.973414634,9.782439024,9.813703704,9.973428571,10.33,10.5325,10.63176471,10.61869565,10.649,10.69206897,10.56931034,10.37,9.755172414,9.425454545,9.838518519,10.39176471,10.72666667,10.9084375,10.985,10.92962963,11.02294118,11.14538462,11.11342857,11.02826087,10.89767442,10.8627907,10.9875,11.10677419,11.27413793,11.47727273,11.59071429,11.75928571,11.58666667,11.55413793,11.47606061,11.37892857,11.12914286,10.895,11.09428571,11.2373913,11.48235294,11.64172414,11.72625,11.78206897,11.92,11.81818182,11.61617647,11.55,11.55,11.54228571,11.66689655,11.8171875,11.85166667,11.96875,11.96666667,12.04272727,12.04225806,12.04181818,12.21705882,12.17294118,12.20666667,12.34757576,12.47,12.57,12.606,12.66631579,12.60782609,12.67294118,12.69382353,12.6616,12.58153846,12.54363636,12.56125,12.59875,12.658125,12.728,12.86928571,12.98,13.06714286,13.12676471,13.18,13.25,13.155,13.09852941,13.17181818,13.17666667,13.23785714,13.27,13.33206897,13.43071429,13.48378378,13.49296296,13.56071429,13.58705882,13.62076923,13.54333333,13.59787879,13.71212121,13.79054054,13.89846154,13.98171429,14.03485714,14.096,14.08,14.13804878,14.10878049,13.974,13.7856,13.81416667,13.90285714,13.90285714,13.90285714,13.90285714,13.90285714,13.90285714
جوین,4740,جوین, جنوب غربی امیرآباد,53.34689655,53.3316129,53.27724138,53.23727273,53.21,53.26294118,53.26324324,53.29454545,53.36125,53.199,53.27333333,53.29896552,53.31931034,53.31275,53.39580645,53.45,53.40636364,53.34459459,53.33103448,53.34,53.34903226,53.48588235,53.38033333,53.39117647,53.40941176,53.42175,53.42925,53.45114286,53.45971429,53.48257143,53.49114286,53.49971429,53.52307692,53.52,53.54735294,53.574,53.59047619,53.59761905,53.58285714,53.60333333,53.63,53.603,53.62511628,53.65,53.66771429,,,,53.74142857,53.76117647,53.77,53.7904,53.80214286,53.81347826,53.82608696,53.83,53.84567568,53.86642857,53.88925926,53.89055556,53.90777778,53.92733333,53.93962963,53.95657143,53.96,53.98,53.98,53.99481481,54.00685714,54.01833333,54.035,54.05941176,54.07826087,54.093,54.09448276,54.04310345,54.00307692,54.10266667,54.15909091,54.17730769,54.18685714,54.21,54.2528125,54.2575,54.27111111,54.28647059,54.30384615,54.31,54.32478261,54.33133333,54.35133333,54.372,54.38,54.38,54.40545455,54.35892857,54.57357143,54.48888889,54.48448276,54.49,54.49785714,54.536,54.5575,54.49,54.4926087,54.50411765,54.51758621,54.5365,54.55137931,54.56434783,54.58727273,54.60529412,54.62135135,54.62945946,54.63771429,54.64793103,54.6734375,54.7,54.71125,54.73733333,54.73545455,54.75193548,54.7630303,54.78117647,54.79882353,54.80333333,54.81424242,54.83166667,54.84428571,54.863,54.87526316,54.8926087,54.91647059,54.93205882,54.9436,54.97,54.97363636,54.98375,54.99625,55.01375,55.038,55.05607143,55.07142857,55.09142857,55.11676471,55.13,55.14,55.15625,55.17852941,55.19,55.21,55.22,55.22666667,55.25758621,55.28571429,55.31027027,55.32703704,55.36142857,55.41235294,55.39923077,55.37733333,55.34484848,55.41515152,55.45135135,55.46,55.49,55.49,55.506,55.53,55.58512195,55.51195122,55.532,55.4576,55.45444444,55.56857143,55.61294118,55.65852941,55.73,55.7462069,55.80588235
جوین,4740,جوین, شمال امیرآباد,10.78413793,10.80516129,10.80517241,10.72,10.52,10.44058824,10.32189189,10.29590909,10.4925,10.7,10.78787879,11.01517241,11.10758621,11.14625,11.16,11.143125,10.99181818,10.88162162,10.89965517,10.88857143,11.18709677,11.35294118,11.45233333,11.52647059,11.62676471,11.60575,11.67325,11.35428571,11.31142857,11.23928571,11.30357143,11.36785714,11.64692308,11.84,11.95852941,12.082,12.15,12.15,12.01285714,11.87666667,11.64428571,11.457,11.2955814,11.36,11.75857143,,,,12.38,12.39764706,12.53,12.5736,12.39428571,12.32608696,12.42065217,12.57833333,12.69189189,12.80214286,12.87777778,12.98333333,13.08666667,13.16066667,13.25666667,13.202,13.0076,13.05651163,12.95534884,12.91,13.12942857,13.32166667,13.43,13.53764706,13.61304348,13.6525,13.63689655,13.44,13.25333333,13.04,13.06,13.1962963,13.44257143,13.64,13.8015625,13.93741935,14.00857143,14.07176471,14.12769231,14.096,13.87043478,13.77930233,13.91883721,14.10125,14.22290323,14.30896552,14.40363636,14.48071429,14.56285714,14.61555556,14.66896552,14.58242424,14.43035714,14.40371429,14.4475,14.59428571,14.70086957,14.80941176,14.91413793,15.0025,15.07965517,15.15086957,15.20090909,15.14323529,14.92189189,14.87324324,14.94714286,15.10482759,15.249375,15.35333333,15.4125,15.48066667,15.50727273,15.50774194,15.54606061,15.57882353,15.56117647,15.30666667,15.57181818,15.70666667,15.80928571,15.907,15.99368421,16.06652174,16.12941176,16.17,16.1436,15.90076923,15.82636364,15.966875,16.223125,16.3825,16.498,16.59857143,16.68714286,16.76428571,16.81794118,16.84,16.895,16.7,16.60558824,16.87181818,16.94,16.94678571,17.05666667,17.17206897,17.24714286,17.28027027,17.31111111,17.35928571,17.48294118,17.19923077,17.244,17.05454545,17.55545455,17.75459459,17.88846154,17.98228571,18.05314286,18.108,18.08,18.08585366,17.87365854,17.677,17.4604,17.82,18.07857143,18.23529412,18.31735294,18.41,18.42965517,18.61176471
جوین,4740,جوین, جنوب امیرآباد,49.98241379,49.9783871,49.93275862,49.96636364,49.93,49.75352941,49.85162162,49.92727273,50.105,49.887,49.96181818,50.09655172,50.20655172,50.2825,50.40193548,50.443125,50.40090909,50.31216216,50.25896552,50.28428571,50.34419355,50.39705882,50.45166667,50.50411765,50.56794118,50.60525,50.62775,50.63542857,50.60114286,50.57357143,50.55214286,50.53071429,50.63,50.69,50.74470588,50.798,50.85238095,50.88809524,50.88285714,50.85888889,50.81571429,50.765,50.71604651,50.67,50.68771429,,,,51.07357143,51.12352941,51.15,51.21,51.22071429,51.24956522,51.21173913,51.2275,51.27702703,51.33928571,51.40777778,51.46222222,51.53111111,51.60933333,51.66814815,51.21428571,51.66461538,51.67073171,51.69195122,51.70740741,51.74428571,51.79333333,51.8375,51.89529412,51.95304348,51.9665,52.00310345,51.95965517,51.88230769,51.88466667,51.92181818,51.97653846,52.01742857,52.06333333,52.1259375,52.16875,52.20814815,52.23941176,52.25,52.23114286,52.19043478,52.1272093,52.08534884,52.095,52.14064516,52.1862069,52.24454545,52.28357143,52.31357143,52.34666667,52.37448276,52.36727273,52.33035714,52.274,52.2375,52.27428571,52.31521739,52.35058824,52.39517241,52.43625,52.47689655,52.52652174,52.55727273,52.57,52.56324324,52.5227027,52.50457143,52.55551724,52.616875,52.6725,52.7196875,52.778,52.81909091,52.87580645,52.90757576,52.95117647,52.96882353,52.95,52.96060606,53.00666667,53.05071429,53.105,53.15578947,53.20521739,53.25617647,53.29823529,53.3336,53.35076923,53.32272727,53.308125,53.301875,53.348125,53.412,53.46428571,53.51428571,53.56857143,53.62352941,53.65,53.66,53.6825,53.69,53.66681818,53.7,53.73357143,53.78,53.82758621,53.87928571,53.93054054,53.99222222,54.04928571,54.10941176,54.16076923,54.15733333,54.11878788,54.10121212,54.13135135,54.18423077,54.22142857,54.26571429,54.318,54.38,54.43414634,54.34634146,54.418,54.418,54.42444444,54.54761905,54.59294118,54.63852941,54.72,54.73517241,54.78735294
جوین,4740,جوین, شمال غرب دلقند,13.1437931,13.12387097,13.03310345,12.79333333,12.68837838,12.22621622,12.39783784,12.52809524,13.04666667,13.1962963,13.27030303,13.45689655,12.61,12.475,12.31125,12.555,12.546,12.38157895,12.47448276,12.46285714,13.09935484,13.58411765,13.85833333,14.40588235,14.65205882,14.73657895,14.80763158,13.74228571,13.45942857,14.24228571,14.51657143,14.79085714,15.13846154,15.56,15.87911765,16.182,16.39095238,16.5552381,16.51857143,15.71666667,14.90714286,14.627,15.59209302,16.36,16.67885714,,,,17.14928571,17.18235294,17.5,16.8888,16.42928571,16.69173913,16.98804348,17.5475,17.80162162,18.02428571,18.19481481,18.35388889,18.47444444,18.31666667,18.43444444,17.69428571,17.2616,17.44090909,17.16409091,16.896,16.80571429,16.865,17.705,18.12882353,18.35043478,18.588,18.62275862,18.16137931,17.88,18.00461538,18.27,18.52074074,18.7127027,18.83,19.01666667,19.06774194,19.09137931,19.21181818,19.32538462,18.84714286,18.43913043,18.14209302,18.62348837,18.975,19.118,19.3,19.46909091,19.56071429,19.39928571,19.63444444,19.66275862,19.31272727,18.89107143,18.86314286,19.055,19.36142857,19.4926087,19.61529412,19.80655172,19.87925,19.92206897,19.8273913,19.89,19.87941176,19.77162162,19.30135135,19.53228571,19.84,20.025,20.15416667,20.216875,20.28666667,20.34909091,20.29870968,20.16151515,19.86941176,19.56058824,19.52666667,19.92575758,20.20333333,20.39357143,20.51,20.61157895,20.71043478,20.79617647,20.81764706,20.7184,20.27846154,20.12181818,20.200625,20.569375,20.79,20.918,21.03071429,21.12714286,21.21,21.29029412,21.365,21.38,21.1725,20.91176471,20.93590909,21.25666667,21.48142857,21.64,21.78965517,21.91642857,22.06162162,22.15518519,22.18571429,22.24647059,22.03153846,21.89344828,21.70529412,22.04647059,22.28945946,22.45615385,22.54228571,22.61314286,22.716,22.75,22.81170732,22.68731707,22.524,22.3188,22.39111111,22.55666667,22.79823529,22.92588235,23.03,23.04448276,23.17
جوین,4740,جوین, جنوب شفیع آباد,46.43862069,46.48193548,46.51655172,46.46727273,46.44,46.38705882,46.44081081,46.53045455,46.6275,46.631,46.68939394,46.88827586,46.94862069,47.00075,47.198125,47.29806452,47.25818182,47.21108108,47.23413793,47.30428571,47.38225806,47.46058824,47.543,47.63529412,47.71735294,47.7905,47.8355,47.88428571,47.84142857,47.87442857,47.95585714,48.03728571,48.08615385,48.2,48.29117647,48.388,48.49428571,48.55857143,48.62571429,48.68222222,48.64,48.63,48.71162791,48.81,48.934,,,,49.35857143,49.48058824,49.56,49.63,49.63428571,49.67782609,49.77869565,49.8925,50.00972973,50.13035714,50.27518519,50.35388889,50.47444444,50.594,50.69666667,50.72485714,50.71153846,50.75,50.82975,50.94888889,51.08285714,51.22166667,51.37064516,51.48,51.59434783,51.662,51.74517241,51.76655172,51.72923077,51.676,51.8175,51.98888889,52.10432432,52.21,52.33935484,52.45117647,52.55107143,52.65,52.75230769,52.76742857,52.71565217,52.65883721,52.79139535,52.915,53.017,53.10333333,53.21909091,53.35142857,53.43714286,53.53,53.62137931,53.63454545,53.57642857,53.57714286,53.6575,53.73857143,53.82565217,53.91941176,54.02034483,54.109,54.20103448,54.2873913,54.37545455,54.40941176,54.37594595,54.35162162,54.45028571,54.55931034,54.658125,54.755,54.8240625,54.88933333,54.99727273,55.0816129,55.13151515,55.13470588,55.05529412,55.03666667,55.13333333,55.235,55.33142857,55.437,55.52631579,55.61043478,55.70588235,55.77647059,55.8376,55.79846154,55.73909091,55.759375,55.890625,55.991875,56.086,56.17857143,56.26714286,56.35571429,56.43470588,56.505,56.57,56.5625,56.52147059,56.58727273,56.69,56.7775,56.86666667,56.96206897,57.03714286,57.11756757,57.19925926,57.26714286,57.33647059,57.36769231,57.32866667,57.31666667,57.41333333,57.49837838,57.59076923,57.66228571,57.73314286,57.82,57.9,57.96365854,57.86853659,57.84,57.798,57.84055556,58.0047619,58.08647059,58.18676471,58.27,58.34964286,58.44542857
جوین,4740,جوین, شمال عبدل آباد,13.46137931,13.42645161,13.51724138,13.47727273,13.45,13.56470588,13.76243243,13.85863636,13.79,13.78,13.85636364,14.04034483,14.08896552,14.119,14.0884375,14.04903226,13.96,14.05972973,14.14655172,14.03142857,13.95580645,13.98294118,14.083,14.17294118,14.21852941,14.20075,14.11825,14.08571429,14.12857143,14.18871429,14.18442857,14.18014286,14.13384615,14.18,14.24382353,14.346,14.41380952,14.47095238,14.51285714,14.54666667,14.57714286,14.553,14.58139535,14.53,14.53,,,,14.945,15.01470588,15.05,15.1312,15.175,15.23869565,15.27021739,15.38083333,15.42918919,15.48107143,15.51888889,15.57194444,15.63222222,15.69777778,15.59228571,15.57,15.53285714,15.66,15.62463415,15.5625,15.57108108,15.78833333,15.8075,15.86470588,15.96608696,16.006,16.01448276,15.99827586,15.99,16.01933333,16.1153125,16.22666667,16.30837838,16.38666667,16.46677419,16.52882353,16.57714286,16.52636364,16.43,16.26411765,16.06913043,15.87046512,15.87744186,15.83625,15.80366667,15.83333333,15.9484375,16.17241379,16.47785714,16.69111111,16.8437931,16.96727273,17.07428571,17.18678571,17.34642857,17.51857143,17.64521739,17.75942857,17.89535714,18.01097561,18.11692308,18.21777778,18.30322581,18.36228571,18.37529412,18.42823529,18.56222222,18.70310345,18.839375,18.9675,19.0809375,19.18580645,19.29354839,19.32903226,19.18,19.458,19.53272727,19.6,19.74454545,19.92333333,20.02,20.184,20.35736842,20.50565217,20.64558824,20.73441176,20.784,20.74923077,20.80272727,20.91625,21.10375,21.20125,21.274,21.3525,21.42,21.47857143,21.53911765,21.485,21.525,21.64375,21.65235294,21.71409091,21.81,21.87035714,21.94666667,22.00758621,22.06714286,22.14756757,22.21518519,22.26928571,22.30823529,22.37384615,22.38733333,22.35606061,22.44393939,22.5127027,22.57423077,22.64228571,22.71314286,22.8,22.88,22.95390244,23.01243902,23.03,23.0468,23.08611111,23.16333333,23.24529412,23.32735294,23.41,23.48827586,23.57323529
جوین,4740,جوین, اکتشافی آزادوار,51.96344828,52.18032258,52.16068966,51.74666667,51.22135135,50.85648649,50.96054054,51.25809524,51.81166667,52.28111111,52.50333333,53.07931034,53.44,53.785,53.90645161,53.45793103,53.004,52.50263158,52.35571429,52.30772727,52.817,53.39235294,53.871,54.20882353,54.50058824,54.6775,54.7525,54.36371429,53.86657143,53.554,53.50244444,53.7972,54.35615385,54.89,55.28205882,55.672,56.01714286,56.27428571,56.27428571,55.93777778,55.40285714,54.936,55.31069767,55.9,56.52,,,,57.95214286,58.11235294,58.13,58.1672,57.27714286,56.9973913,57.35043478,57.90916667,58.36540541,58.7675,59.11888889,59.46028571,59.77914286,60.026,60.19,59.78166667,59.25692308,59.07,59.06275,59.468,60.00828571,60.39692308,60.71,61.03294118,61.37590909,61.55175,61.518,60.94172414,60.54153846,60.19733333,60.1653125,60.01,60.93243243,61.69666667,62.07967742,62.32588235,62.46785714,62.62090909,62.73,62.44117647,62.66391304,61.47674419,61.72790698,62.13875,62.67833333,62.98666667,63.2565625,63.54241379,63.77714286,63.95333333,63.97724138,63.68272727,63.25,62.85,62.94642857,63.47727273,64.02,64.34114286,64.67964286,64.99243902,65.25692308,65.48,65.46870968,65.14885714,64.69147059,64.20617647,64.422,64.86896552,65.42666667,65.78,66.03294118,66.343,66.61451613,66.7683871,66.56363636,66.175,66.625,65.38516129,65.49724138,65.9875,66.431,66.83571429,67.19705882,67.47448276,67.74058824,67.89941176,67.81,67.2775,66.89096774,66.68530612,66.88122449,67.290625,67.756,68.14214286,68.46,68.75285714,69.01647059,69.24,69.255,68.91375,68.50058824,68.51,68.80666667,69.17428571,69.52333333,69.84689655,70.13642857,70.44,70.70074074,70.85428571,70.83764706,70.59692308,70.208,69.90848485,70.03151515,70.43972973,70.87730769,71.17771429,71.41685714,71.736,72.01,72.13853659,72.11658537,71.711,71.288,71.32666667,71.36904762,71.71411765,72.08794118,72.37,72.62689655,72.89970588
جوین,4740,جوین, بین فیض آباد و فراشیان,36.60896552,36.47064516,36.28413793,34.95466667,34.52243243,34.46567568,35.38054054,36.17,36.43166667,36.2762963,36.40939394,36.68137931,36.78,36.7875,36.59666667,35.82,35.392,35.35684211,35.86310345,36.19,36.437,36.07705882,36.283,36.38823529,36.67088235,36.82575,36.59325,36.30742857,36.21314286,36.268,36.68044444,36.7992,36.73846154,36.28,36.50794118,36.658,36.48333333,36.68333333,36.39571429,36.11888889,36.21285714,36.509,36.7472093,36.43,35.86314286,,,,36.58285714,36.34823529,36.26,36.7324,36.625,36.98347826,37.28608696,37.02608696,36.64684211,37.01821429,37.55333333,37.92828571,37.25514286,37.217,36.76,36.86833333,37.31666667,37.15,36.56040816,36.68061224,35.43714286,35.88,35.9772973,35.42647059,34.94863636,34.60275,34.756,34.65586207,34.44076923,36.452,37.534375,38.00148148,38.02235294,37.91758621,37.7103125,36.79235294,36.79821429,37.3940625,37.71892857,38.104,38.57454545,38.72046512,39.02744186,39.0775,39.04633333,39.07,39.10625,38.36827586,37.975,37.37333333,37.54965517,38.20818182,38.83571429,39.52678571,39.84357143,39.74342857,39.72695652,39.30142857,39.30535714,38.9497561,37.96846154,38.64333333,38.33225806,38.08114286,39.11558824,39.97147059,39.744,39.43172414,39.432,38.85,39.02764706,38.83333333,38.07580645,36.97064516,37.02454545,37.84176471,39.05941176,39.32612903,39.33448276,39.6975,39.16066667,38.74571429,38.26294118,38.04344828,37.71470588,36.89764706,36.3426087,37.18964286,37.88451613,38.34653061,38.12612245,37.723125,37.64875,37.4762069,37.71942857,37.86857143,37.58333333,37.17,36.7925,37.198125,37.434,37.23526316,38.40888889,39.14096774,39.20225806,38.98896552,38.91233333,39.01285714,39.1,38.97666667,39.23448276,41.03,41.03,41.03,41.03,41.03,41.03,41.03,41.03,41.03,41.03,41.03,41.03,41.03,41.03,41.03,41.03,41.03,41.03,41.03,41.03,41.03
جوین,4740,جوین, جاورتن - 1,103.3213793,103.4880645,103.5603448,103.6366667,103.5359459,103.4305405,103.412973,103.4385714,103.7566667,104.07,104.1866667,104.4793103,104.78,105.08,105.3606452,105.4796552,105.474,105.1739474,105.0371429,105.0952381,105.25,105.2967647,105.78,106.0996875,106.36,106.5851282,106.754359,106.8142857,106.6971429,106.6514286,106.6857143,106.72,106.9210811,107.157931,107.4066667,107.6822222,107.87,108.07,108.2232609,108.2428261,108.1636364,107.9917241,108.032093,108.1574286,108.3877143,,,,109.375,109.5235294,109.657931,109.6068966,109.68125,109.5558696,109.5747826,109.7141667,109.8659459,110.0285714,110.3,110.5238889,110.7391667,110.9603226,111.15,111.1481818,111.1209091,111.0413636,111.0611364,111.1278571,111.304375,111.5107692,111.7411765,112.03,112.2292308,112.4332143,112.6277419,112.7171429,112.64,112.4706452,112.49875,112.6466667,112.8085714,113.0025,113.1081818,113.21,113.412963,113.6255882,113.8381818,113.8825,113.7930769,113.5975,113.6725,113.7287097,113.8634286,114.0128571,114.1514706,114.5568,115.059,115.265,115.3751724,115.4036364,115.3566667,115.19,115.0789286,115.1702857,115.3521739,115.4922857,115.6951282,115.87,116.06,116.2955556,116.4412121,116.5116667,116.4705714,116.3248571,116.232,116.38,116.5805882,116.7385185,116.9076471,117.095,117.2793103,117.4623529,117.587037,117.7357143,117.6086957,117.2072727,117.0914286,117.1911765,117.397931,117.612069,117.8217647,118.0735714,118.3135294,118.4842857,118.6780645,118.71,118.4645161,118.3697959,118.3942857,118.5623529,118.7809375,118.997931,119.2234286,119.455,119.6525,119.955,120.095,120.0485714,119.9589474,119.9421053,120.0944444,120.393871,120.51,120.6403448,120.8663333,121.0982857,121.292,121.4033333,121.5406897,121.6296296,121.535,121.4072727,121.4775758,121.6460714,121.8366667,122.0426316,122.2475758,122.4824242,122.68,122.8256098,122.7597561,122.9977273,122.738125,122.7683784,122.8352381,122.9817647,123.1641176,123.37,123.5906897,123.8038235
جوین,4740,جوین, غرب کلاته گز,22.85896552,22.79032258,22.06034483,22.93933333,23.01297297,23.11027027,23.21837838,23.39333333,20.65833333,20.12851852,20.16515152,20.49586207,20.84,21.005,21.16666667,21.27333333,21.212,21.40710526,21.52551724,21.233,20.77428571,20.87162162,21.19,21.45454545,21.68,21.61414634,21.89219512,21.38571429,21.62714286,21.57813953,21.16674419,19.94,20.45945946,20.99241379,21.05916667,21.05055556,19.85916667,18.55083333,17.75543478,17.78804348,17.54090909,17.644,19.82,20.66628571,21.17114286,,,,20.95964286,20.61941176,21.10034483,21.69,21.97222222,22.15255319,22.25744681,22.02217391,22.37486486,22.65862069,22.64222222,22.70457143,22.77542857,22.43677419,22.91243243,22.98540541,23.04444444,23.126,23.3,23.36807692,23.17685714,23.2156,22.98027027,23.26,23.56173913,23.62725,23.66758621,23.72344828,23.78518519,23.834375,23.92354839,28.99444444,31.07714286,31.18448276,31.289375,31.31,32.09064516,31.675,31.40227273,31.24878049,31.09142857,30.99205128,31.02282051,31.09193548,31.15540541,31.1916129,31.29642857,31.35677419,31.44689655,31.48,31.45172414,31.36909091,31.25428571,31.24357143,31.275,31.35057143,31.41,31.45457143,31.53321429,31.5604878,31.60846154,31.59444444,31.61,31.58028571,31.48,31.48,31.488,31.62241379,31.65,31.725,31.79352941,31.85,31.85258065,31.86225806,31.85545455,31.79705882,31.86764706,31.82451613,31.81724138,31.985,32.07166667,32.13285714,32.20294118,32.23551724,32.23823529,32.22588235,32.28695652,32.1275,32.08354839,32.13468085,32.2687234,32.3225,32.41724138,32.55029412,32.63529412,32.64034483,32.51916667,32.425,32.445,32.53,32.60684211,32.8,32.85166667,32.86,32.9683871,33.04172414,33.08833333,33.12057143,33.226,33.26666667,33.29586207,33.28148148,33.29205882,33.30454545,33.34848485,33.38357143,33.48148148,33.50263158,33.55181818,33.60818182,33.59,33.67,33.67,33.64136364,33.64,33.61081081,33.73571429,33.76411765,33.82794118,33.83,33.92,33.93176471
